Series_Title,Released_Year,Genre,IMDB_Rating,Meta_score,No_of_Votes,Gross
The Exorcist,1973,Horror,8.0,81.0,362393,"232,906,145"
Sleuth,1972,Mystery,8.0,,44748,"4,081,254"
The Last Picture Show,1971,Drama,8.0,93.0,42456,"29,133,000"
Fiddler on the Roof,1971,Drama,8.0,67.0,39491,"80,500,000"
Il conformista,1970,Drama,8.0,100.0,27067,"541,940"
Butch Cassidy and the Sundance Kid,1969,Biography,8.0,66.0,201888,"102,308,889"
Rosemary's Baby,1968,Drama,8.0,96.0,193674,
Planet of the Apes,1968,Adventure,8.0,79.0,165167,"33,395,426"
The Graduate,1967,Comedy,8.0,83.0,253676,"104,945,305"
Who's Afraid of Virginia Woolf?,1966,Drama,8.0,75.0,68926,
The Sound of Music,1965,Biography,8.0,63.0,205425,"163,214,286"
Doctor Zhivago,1965,Drama,8.0,69.0,69903,"111,722,000"
Per un pugno di dollari,1964,Action,8.0,65.0,198219,"14,500,000"
8½,1963,Drama,8.0,91.0,108844,"50,690"
Vivre sa vie: Film en douze tableaux,1962,Drama,8.0,,28057,
The Hustler,1961,Drama,8.0,90.0,75067,"8,284,000"
La dolce vita,1960,Comedy,8.0,95.0,66621,"19,516,000"
Rio Bravo,1959,Action,8.0,93.0,56305,"12,535,000"
Anatomy of a Murder,1959,Crime,8.0,95.0,59847,"11,900,000"
Touch of Evil,1958,Crime,8.0,99.0,98431,"2,237,659"
Cat on a Hot Tin Roof,1958,Drama,8.0,84.0,45062,"17,570,324"
Sweet Smell of Success,1957,Drama,8.0,100.0,28137,
The Killing,1956,Crime,8.0,91.0,81702,
The Night of the Hunter,1955,Crime,8.0,99.0,81980,"654,000"
La Strada,1954,Drama,8.0,,58314,
Les diaboliques,1955,Crime,8.0,,61503,
Stalag 17,1953,Comedy,8.0,84.0,51046,
Roman Holiday,1953,Comedy,8.0,78.0,127256,
A Streetcar Named Desire,1951,Drama,8.0,97.0,99182,"8,000,000"
In a Lonely Place,1950,Drama,8.0,,26784,
Kind Hearts and Coronets,1949,Comedy,8.0,,34485,
Rope,1948,Crime,8.0,73.0,129783,
Out of the Past,1947,Crime,8.0,,32784,
Brief Encounter,1945,Drama,8.0,92.0,35601,
Laura,1944,Drama,8.0,,42725,"4,360,000"
The Best Years of Our Lives,1946,Drama,8.0,93.0,57259,"23,650,000"
Arsenic and Old Lace,1942,Comedy,8.0,,65101,
The Maltese Falcon,1941,Film-Noir,8.0,96.0,148928,"2,108,060"
The Grapes of Wrath,1940,Drama,8.0,96.0,85559,"55,000"
The Wizard of Oz,1939,Adventure,8.0,92.0,371379,"2,076,020"
La règle du jeu,1939,Comedy,8.0,,26725,
The Thin Man,1934,Comedy,8.0,86.0,26642,
All Quiet on the Western Front,1930,Drama,8.0,91.0,57318,"3,270,000"
Bronenosets Potemkin,1925,Drama,8.0,97.0,53054,"50,970"
Knives Out,2019,Comedy,7.9,82.0,454203,"165,359,751"
Dil Bechara,2020,Comedy,7.9,,111478,
Manbiki kazoku,2018,Crime,7.9,93.0,62754,"3,313,513"
Marriage Story,2019,Comedy,7.9,94.0,246644,"2,000,000"
Call Me by Your Name,2017,Drama,7.9,93.0,212651,"18,095,701"
"I, Daniel Blake",2016,Drama,7.9,78.0,53818,"258,168"
Isle of Dogs,2018,Animation,7.9,82.0,139114,"32,015,231"
Hunt for the Wilderpeople,2016,Adventure,7.9,81.0,111483,"5,202,582"
Captain Fantastic,2016,Comedy,7.9,72.0,189400,"5,875,006"
Sing Street,2016,Comedy,7.9,79.0,85109,"3,237,118"
Thor: Ragnarok,2017,Action,7.9,74.0,587775,"315,058,289"
Nightcrawler,2014,Crime,7.9,76.0,466134,"32,381,218"
Jojo Rabbit,2019,Comedy,7.9,58.0,297918,"349,555"
Arrival,2016,Drama,7.9,81.0,594181,"100,546,139"
Star Wars: Episode VII - The Force Awakens,2015,Action,7.9,80.0,860823,"936,662,225"
Before Midnight,2013,Drama,7.9,94.0,141457,"8,114,627"
X-Men: Days of Future Past,2014,Action,7.9,75.0,659763,"233,921,534"
Bir Zamanlar Anadolu'da,2011,Crime,7.9,82.0,41995,"138,730"
The Artist,2011,Comedy,7.9,89.0,230624,"44,671,682"
Edge of Tomorrow,2014,Action,7.9,71.0,600004,"100,206,256"
Amour,2012,Drama,7.9,94.0,93090,"6,739,492"
The Irishman,2019,Biography,7.9,94.0,324720,"7,000,000"
Un prophète,2009,Crime,7.9,90.0,93560,"2,084,637"
Moon,2009,Drama,7.9,67.0,335152,"5,009,677"
Låt den rätte komma in,2008,Crime,7.9,82.0,205609,"2,122,065"
District 9,2009,Action,7.9,81.0,638202,"115,646,235"
The Wrestler,2008,Drama,7.9,80.0,289415,"26,236,603"
Jab We Met,2007,Comedy,7.9,,47720,"410,800"
Boyhood,2014,Drama,7.9,100.0,335533,"25,379,975"
"4 luni, 3 saptamâni si 2 zile",2007,Drama,7.9,97.0,56625,"1,185,783"
Star Trek,2009,Action,7.9,82.0,577336,"257,730,019"
In Bruges,2008,Comedy,7.9,67.0,390334,"7,757,130"
The Man from Earth,2007,Drama,7.9,,174125,
Letters from Iwo Jima,2006,Action,7.9,89.0,154011,"13,756,082"
The Fall,2006,Adventure,7.9,64.0,107290,"2,280,348"
Life of Pi,2012,Adventure,7.9,79.0,580708,"124,987,023"
Fantastic Mr. Fox,2009,Animation,7.9,83.0,199696,"21,002,919"
C.R.A.Z.Y.,2005,Comedy,7.9,81.0,31476,
Les choristes,2004,Drama,7.9,56.0,57430,"3,635,164"
Iron Man,2008,Action,7.9,79.0,939644,"318,412,101"
Shaun of the Dead,2004,Comedy,7.9,76.0,512249,"13,542,874"
Gegen die Wand,2004,Drama,7.9,78.0,51325,
Mystic River,2003,Crime,7.9,84.0,419420,"90,135,191"
Harry Potter and the Prisoner of Azkaban,2004,Adventure,7.9,82.0,552493,"249,358,727"
Ying xiong,2002,Action,7.9,85.0,173999,"53,710,019"
Hable con ella,2002,Drama,7.9,86.0,104691,"9,284,265"
No Man's Land,2001,Comedy,7.9,84.0,44618,"1,059,830"
Cowboy Bebop: Tengoku no tobira,2001,Animation,7.9,61.0,42897,"1,000,045"
The Bourne Identity,2002,Action,7.9,68.0,508771,"121,661,683"
Nueve reinas,2000,Crime,7.9,80.0,49721,"1,221,261"
Children of Men,2006,Adventure,7.9,84.0,465113,"35,552,383"
Almost Famous,2000,Adventure,7.9,90.0,252586,"32,534,850"
Mulholland Dr.,2001,Drama,7.9,85.0,322031,"7,220,243"
Toy Story 2,1999,Animation,7.9,88.0,527512,"245,852,179"
Boogie Nights,1997,Drama,7.9,85.0,239473,"26,400,640"
Mimi wo sumaseba,1995,Animation,7.9,75.0,51943,
Once Were Warriors,1994,Crime,7.9,77.0,31590,"2,201,126"
True Romance,1993,Crime,7.9,59.0,206918,"12,281,500"
Trois couleurs: Bleu,1993,Drama,7.9,85.0,89836,"1,324,974"
Jûbê ninpûchô,1993,Animation,7.9,,34529,
Carlito's Way,1993,Crime,7.9,65.0,201000,"36,948,322"
Edward Scissorhands,1990,Drama,7.9,74.0,447368,"56,362,352"
My Left Foot: The Story of Christy Brown,1989,Biography,7.9,97.0,68076,"14,743,391"
Crimes and Misdemeanors,1989,Comedy,7.9,77.0,54670,"18,254,702"
The Untouchables,1987,Crime,7.9,79.0,281842,"76,270,454"
Hannah and Her Sisters,1986,Comedy,7.9,90.0,67176,"40,084,041"
Brazil,1985,Drama,7.9,84.0,187567,"9,929,135"
This Is Spinal Tap,1984,Comedy,7.9,92.0,128812,"188,751"
A Christmas Story,1983,Comedy,7.9,77.0,132947,"20,605,209"
The Blues Brothers,1980,Action,7.9,60.0,183182,"57,229,890"
Manhattan,1979,Comedy,7.9,83.0,131436,"45,700,000"
All That Jazz,1979,Drama,7.9,72.0,28223,"37,823,676"
Dawn of the Dead,1978,Action,7.9,71.0,111512,"5,100,000"
All the President's Men,1976,Biography,7.9,84.0,103031,"70,600,000"
La montaña sagrada,1973,Adventure,7.9,76.0,37183,"61,001"
Amarcord,1973,Comedy,7.9,,39897,
Le charme discret de la bourgeoisie,1972,Comedy,7.9,93.0,38737,"198,809"
"Aguirre, der Zorn Gottes",1972,Action,7.9,,52397,
Harold and Maude,1971,Comedy,7.9,62.0,70826,
Patton,1970,Biography,7.9,91.0,93741,"61,700,000"
The Wild Bunch,1969,Action,7.9,97.0,77401,"12,064,472"
Night of the Living Dead,1968,Horror,7.9,89.0,116557,"89,029"
The Lion in Winter,1968,Biography,7.9,,29003,"22,276,975"
In the Heat of the Night,1967,Crime,7.9,75.0,67804,"24,379,978"
Charade,1963,Comedy,7.9,83.0,68689,"13,474,588"
The Manchurian Candidate,1962,Drama,7.9,94.0,71122,
Spartacus,1960,Adventure,7.9,87.0,124339,"30,000,000"
L'avventura,1960,Drama,7.9,,26542,
Hiroshima mon amour,1959,Drama,7.9,,28421,"88,300"
The Ten Commandments,1956,Adventure,7.9,,63560,"93,740,000"
The Searchers,1956,Adventure,7.9,94.0,80316,
East of Eden,1955,Drama,7.9,72.0,40313,
High Noon,1952,Drama,7.9,89.0,97222,"9,450,000"
Strangers on a Train,1951,Crime,7.9,88.0,123341,"7,630,000"
Harvey,1950,Comedy,7.9,,52573,
Miracle on 34th Street,1947,Comedy,7.9,88.0,41625,"2,650,000"
Notorious,1946,Drama,7.9,100.0,92306,"10,464,000"
The Big Sleep,1946,Crime,7.9,,78796,"6,540,000"
The Lost Weekend,1945,Drama,7.9,,33549,"9,460,000"
The Philadelphia Story,1940,Comedy,7.9,96.0,63550,
His Girl Friday,1940,Comedy,7.9,,53667,"296,000"
The Adventures of Robin Hood,1938,Action,7.9,97.0,47175,"3,981,000"
A Night at the Opera,1935,Comedy,7.9,,30580,"2,537,520"
King Kong,1933,Adventure,7.9,90.0,78991,"10,000,000"
Freaks,1932,Drama,7.9,80.0,42117,
Nosferatu,1922,Fantasy,7.9,,88794,
The Gentlemen,2019,Action,7.8,51.0,237392,
Raazi,2018,Action,7.8,,25344,
Sound of Metal,2019,Drama,7.8,81.0,27187,
Forushande,2016,Drama,7.8,85.0,51240,"2,402,067"
Dunkirk,2017,Action,7.8,94.0,555092,"188,373,161"
Perfetti sconosciuti,2016,Comedy,7.8,,57168,
Hidden Figures,2016,Biography,7.8,74.0,200876,"169,607,287"
Paddington 2,2017,Adventure,7.8,88.0,61594,"40,442,052"
Udta Punjab,2016,Action,7.8,,27175,
Kubo and the Two Strings,2016,Animation,7.8,84.0,118035,"48,023,088"
M.S. Dhoni: The Untold Story,2016,Biography,7.8,,40416,"1,782,795"
Manchester by the Sea,2016,Drama,7.8,96.0,246963,"47,695,120"
Under sandet,2015,Drama,7.8,75.0,35539,"435,266"
Rogue One,2016,Action,7.8,65.0,556608,"532,177,324"
Captain America: Civil War,2016,Action,7.8,75.0,663649,"408,084,349"
The Hateful Eight,2015,Crime,7.8,68.0,517059,"54,117,416"
Little Women,2019,Drama,7.8,91.0,143250,"108,101,214"
Loving Vincent,2017,Animation,7.8,62.0,50778,"6,735,118"
Pride,2014,Biography,7.8,79.0,51841,
Le passé,2013,Drama,7.8,85.0,45002,"1,330,596"
La grande bellezza,2013,Drama,7.8,86.0,81125,"2,852,400"
The Lunchbox,2013,Drama,7.8,76.0,50523,"4,231,500"
Vicky Donor,2012,Comedy,7.8,,39710,"169,209"
Big Hero 6,2014,Animation,7.8,74.0,410983,"222,527,828"
About Time,2013,Comedy,7.8,55.0,303032,"15,322,921"
English Vinglish,2012,Comedy,7.8,,33618,"1,670,773"
Kaze tachinu,2013,Animation,7.8,83.0,73690,"5,209,580"
Toy Story 4,2019,Animation,7.8,84.0,203177,"434,038,008"
La migliore offerta,2013,Crime,7.8,49.0,108399,"85,433"
Moonrise Kingdom,2012,Comedy,7.8,84.0,318789,"45,512,466"
How to Train Your Dragon 2,2014,Animation,7.8,76.0,305611,"177,002,924"
The Big Short,2015,Biography,7.8,81.0,362942,"70,259,870"
Kokuhaku,2010,Drama,7.8,,35713,
Ang-ma-reul bo-at-da,2010,Action,7.8,67.0,111252,"128,392"
The Girl with the Dragon Tattoo,2011,Crime,7.8,71.0,423010,"102,515,793"
Captain Phillips,2013,Adventure,7.8,82.0,421244,"107,100,855"
Ajeossi,2010,Action,7.8,,62848,"6,460"
Straight Outta Compton,2015,Biography,7.8,72.0,179264,"161,197,785"
Madeo,2009,Crime,7.8,79.0,52758,"547,292"
Chugyeokja,2008,Action,7.8,64.0,58468,
The Hobbit: The Desolation of Smaug,2013,Adventure,7.8,66.0,601408,"258,366,855"
Das weiße Band - Eine deutsche Kindergeschichte,2009,Drama,7.8,82.0,68715,"2,222,647"
Män som hatar kvinnor,2009,Crime,7.8,76.0,208994,"10,095,170"
The Trial of the Chicago 7,2020,Drama,7.8,77.0,89896,
Druk,2020,Comedy,7.8,81.0,33931,
The Fighter,2010,Biography,7.8,79.0,340584,"93,617,009"
Taken,2008,Action,7.8,51.0,564791,"145,000,989"
The Boy in the Striped Pyjamas,2008,Drama,7.8,55.0,190748,"9,030,581"
Once,2007,Drama,7.8,88.0,110656,"9,439,923"
The Hobbit: An Unexpected Journey,2012,Adventure,7.8,58.0,757377,"303,003,568"
Auf der anderen Seite,2007,Drama,7.8,85.0,30827,"741,283"
Atonement,2007,Drama,7.8,85.0,251370,"50,927,067"
Drive,2011,Crime,7.8,78.0,571571,"35,061,555"
American Gangster,2007,Biography,7.8,76.0,392449,"130,164,645"
Avatar,2009,Action,7.8,83.0,1118998,"760,507,625"
Mr. Nobody,2009,Drama,7.8,63.0,216421,"3,600"
Apocalypto,2006,Action,7.8,68.0,291018,"50,866,635"
Little Miss Sunshine,2006,Comedy,7.8,80.0,439856,"59,891,098"
Hot Fuzz,2007,Action,7.8,81.0,463466,"23,637,265"
The Curious Case of Benjamin Button,2008,Drama,7.8,70.0,589160,"127,509,326"
Veer-Zaara,2004,Drama,7.8,67.0,49050,"2,921,738"
Adams æbler,2005,Comedy,7.8,51.0,45717,"1,305"
Pride & Prejudice,2005,Drama,7.8,82.0,258924,"38,405,088"
The World's Fastest Indian,2005,Biography,7.8,68.0,51980,"5,128,124"
Tôkyô goddofâzâzu,2003,Animation,7.8,73.0,31658,"128,985"
Serenity,2005,Action,7.8,74.0,283310,"25,514,517"
Walk the Line,2005,Biography,7.8,72.0,234207,"119,519,402"
Ondskan,2003,Drama,7.8,61.0,35682,"15,280"
The Notebook,2004,Drama,7.8,53.0,520284,"81,001,787"
Diarios de motocicleta,2004,Adventure,7.8,75.0,96703,"16,756,372"
Lilja 4-ever,2002,Crime,7.8,82.0,42673,"181,655"
Les triplettes de Belleville,2003,Animation,7.8,91.0,50622,"7,002,255"
Gongdong gyeongbi guyeok JSA,2000,Action,7.8,58.0,26518,
The Count of Monte Cristo,2002,Action,7.8,61.0,129022,"54,234,062"
Waking Life,2001,Animation,7.8,83.0,60684,"2,892,011"
Remember the Titans,2000,Biography,7.8,48.0,198089,"115,654,751"
Wo hu cang long,2000,Action,7.8,94.0,253228,"128,078,872"
Todo sobre mi madre,1999,Drama,7.8,87.0,89058,"8,264,530"
Cast Away,2000,Adventure,7.8,73.0,524235,"233,632,142"
The Boondock Saints,1999,Action,7.8,44.0,227143,"25,812"
The Insider,1999,Biography,7.8,84.0,159886,"28,965,197"
October Sky,1999,Biography,7.8,71.0,82855,"32,481,825"
Shrek,2001,Animation,7.8,84.0,613941,"267,665,011"
Titanic,1997,Drama,7.8,75.0,1046089,"659,325,379"
Hana-bi,1997,Crime,7.8,,27712,"233,986"
Gattaca,1997,Drama,7.8,64.0,280845,"12,339,633"
The Game,1997,Action,7.8,61.0,345096,"48,323,648"
Breaking the Waves,1996,Drama,7.8,76.0,62428,"4,040,691"
Ed Wood,1994,Biography,7.8,70.0,164937,"5,887,457"
What's Eating Gilbert Grape,1993,Drama,7.8,73.0,215034,"9,170,214"
Tombstone,1993,Action,7.8,50.0,126871,"56,505,065"
The Sandlot,1993,Comedy,7.8,55.0,78963,"32,416,586"
The Remains of the Day,1993,Drama,7.8,84.0,66065,"22,954,968"
Naked,1993,Comedy,7.8,84.0,34635,"1,769,305"
The Fugitive,1993,Action,7.8,87.0,267684,"183,875,760"
A Bronx Tale,1993,Crime,7.8,80.0,128171,"17,266,971"
Batman: Mask of the Phantasm,1993,Animation,7.8,,43690,"5,617,391"
Lat sau san taam,1992,Action,7.8,,46700,
Night on Earth,1991,Comedy,7.8,68.0,55362,"2,015,810"
La double vie de Véronique,1991,Drama,7.8,86.0,42376,"1,999,955"
Boyz n the Hood,1991,Crime,7.8,76.0,126082,"57,504,069"
Misery,1990,Drama,7.8,75.0,184740,"61,276,872"
Awakenings,1990,Biography,7.8,74.0,125276,"52,096,475"
Majo no takkyûbin,1989,Animation,7.8,83.0,124193,
Glory,1989,Biography,7.8,78.0,122779,"26,830,000"
Dip huet seung hung,1989,Action,7.8,82.0,45624,
Back to the Future Part II,1989,Adventure,7.8,57.0,481918,"118,500,000"
Mississippi Burning,1988,Crime,7.8,65.0,88214,"34,603,943"
Predator,1987,Action,7.8,45.0,371387,"59,735,548"
Evil Dead II,1987,Action,7.8,72.0,148359,"5,923,044"
Ferris Bueller's Day Off,1986,Comedy,7.8,61.0,321382,"70,136,369"
Down by Law,1986,Comedy,7.8,75.0,47834,"1,436,000"
The Goonies,1985,Adventure,7.8,62.0,244430,"61,503,218"
The Color Purple,1985,Drama,7.8,78.0,78321,"98,467,863"
The Breakfast Club,1985,Comedy,7.8,66.0,357026,"45,875,171"
The Killing Fields,1984,Biography,7.8,76.0,51585,"34,700,291"
Ghostbusters,1984,Action,7.8,71.0,355413,"238,632,124"
The Right Stuff,1983,Adventure,7.8,91.0,56235,"21,500,000"
The King of Comedy,1982,Comedy,7.8,73.0,88511,"2,500,000"
E.T. the Extra-Terrestrial,1982,Family,7.8,91.0,372490,"435,110,554"
Kramer vs. Kramer,1979,Drama,7.8,77.0,133351,"106,260,000"
Days of Heaven,1978,Drama,7.8,93.0,52852,
The Outlaw Josey Wales,1976,Western,7.8,69.0,65659,"31,800,000"
The Man Who Would Be King,1975,Adventure,7.8,91.0,44917,
The Conversation,1974,Drama,7.8,85.0,98611,"4,420,000"
La planète sauvage,1973,Animation,7.8,73.0,25229,"193,817"
The Day of the Jackal,1973,Crime,7.8,80.0,37445,"16,056,255"
Badlands,1973,Action,7.8,93.0,66009,
Cabaret,1972,Drama,7.8,80.0,48334,"42,765,000"
Willy Wonka & the Chocolate Factory,1971,Family,7.8,67.0,178731,"4,000,000"
Midnight Cowboy,1969,Drama,7.8,79.0,101124,"44,785,053"
Wait Until Dark,1967,Thriller,7.8,81.0,27733,"17,550,741"
Guess Who's Coming to Dinner,1967,Comedy,7.8,63.0,39642,"56,700,000"
Bonnie and Clyde,1967,Action,7.8,86.0,102415,
My Fair Lady,1964,Drama,7.8,95.0,86525,"72,000,000"
Mary Poppins,1964,Comedy,7.8,88.0,158029,"102,272,727"
The Longest Day,1962,Action,7.8,75.0,52141,"39,100,000"
Jules et Jim,1962,Drama,7.8,97.0,37605,
The Innocents,1961,Horror,7.8,88.0,27007,"2,616,000"
À bout de souffle,1960,Crime,7.8,,73251,"336,705"
Red River,1948,Action,7.8,,28167,
Key Largo,1948,Action,7.8,,36995,
To Have and Have Not,1944,Adventure,7.8,,31053,
Shadow of a Doubt,1943,Film-Noir,7.8,94.0,59556,
Stagecoach,1939,Adventure,7.8,93.0,43621,
The Lady Vanishes,1938,Mystery,7.8,98.0,47400,
Bringing Up Baby,1938,Comedy,7.8,91.0,55163,
Bride of Frankenstein,1935,Drama,7.8,95.0,43542,"4,360,000"
Duck Soup,1933,Comedy,7.8,93.0,55581,
Scarface: The Shame of the Nation,1932,Action,7.8,87.0,25312,
Frankenstein,1931,Drama,7.8,91.0,65341,
Roma,2018,Drama,7.7,96.0,140375,
God's Own Country,2017,Drama,7.7,85.0,25198,"335,609"
Deadpool 2,2018,Action,7.7,66.0,478586,"324,591,735"
Wind River,2017,Crime,7.7,73.0,205444,"33,800,859"
Get Out,2017,Horror,7.7,85.0,492851,"176,040,665"
Mission: Impossible - Fallout,2018,Action,7.7,86.0,291257,"220,159,104"
En man som heter Ove,2015,Comedy,7.7,70.0,47444,"3,358,518"
What We Do in the Shadows,2014,Comedy,7.7,76.0,157498,"3,333,000"
Omoide no Mânî,2014,Animation,7.7,72.0,32798,"765,127"
The Theory of Everything,2014,Biography,7.7,72.0,404182,"35,893,537"
Kingsman: The Secret Service,2014,Action,7.7,60.0,590440,"128,261,724"
The Fault in Our Stars,2014,Drama,7.7,69.0,344312,"124,872,350"
Me and Earl and the Dying Girl,2015,Comedy,7.7,74.0,123210,"6,743,776"
Birdman or (The Unexpected Virtue of Ignorance),2014,Comedy,7.7,87.0,580291,"42,340,598"
La vie d'Adèle,2013,Drama,7.7,89.0,138741,"2,199,675"
Kai po che!,2013,Drama,7.7,40.0,32628,"1,122,527"
The Broken Circle Breakdown,2012,Drama,7.7,70.0,39379,"175,058"
Captain America: The Winter Soldier,2014,Action,7.7,70.0,736182,"259,766,572"
Rockstar,2011,Drama,7.7,,39501,"985,912"
Nebraska,2013,Adventure,7.7,87.0,112298,"17,654,912"
Wreck-It Ralph,2012,Animation,7.7,72.0,380195,"189,422,889"
Le Petit Prince,2015,Animation,7.7,70.0,56720,"1,339,152"
Detachment,2011,Drama,7.7,52.0,77071,"71,177"
Midnight in Paris,2011,Comedy,7.7,81.0,388089,"56,816,662"
The Lego Movie,2014,Animation,7.7,83.0,323982,"257,760,692"
Gravity,2013,Drama,7.7,96.0,769145,"274,092,705"
Star Trek Into Darkness,2013,Action,7.7,72.0,463188,"228,778,661"
Beasts of No Nation,2015,Drama,7.7,79.0,73964,"83,861"
The Social Network,2010,Biography,7.7,95.0,624982,"96,962,694"
X: First Class,2011,Action,7.7,65.0,645512,"146,408,305"
The Hangover,2009,Comedy,7.7,73.0,717559,"277,322,503"
Skyfall,2012,Action,7.7,81.0,630614,"304,360,277"
Silver Linings Playbook,2012,Comedy,7.7,81.0,661871,"132,092,958"
Argo,2012,Biography,7.7,86.0,572581,"136,025,503"
(500) Days of Summer,2009,Comedy,7.7,76.0,472242,"32,391,374"
Harry Potter and the Deathly Hallows: Part 1,2010,Adventure,7.7,65.0,479120,"295,983,305"
Gake no ue no Ponyo,2008,Animation,7.7,86.0,125317,"15,090,400"
Frost/Nixon,2008,Biography,7.7,80.0,103330,"18,593,156"
Papurika,2006,Animation,7.7,81.0,71379,"881,302"
Changeling,2008,Biography,7.7,63.0,239203,"35,739,802"
Flipped,2010,Comedy,7.7,45.0,81446,"1,752,214"
Toki o kakeru shôjo,2006,Animation,7.7,,60368,
Death Note: Desu nôto,2006,Crime,7.7,,28630,
This Is England,2006,Crime,7.7,86.0,115576,"327,919"
Ex Machina,2014,Drama,7.7,78.0,474141,"25,442,958"
Efter brylluppet,2006,Drama,7.7,78.0,32001,"412,544"
The Last King of Scotland,2006,Biography,7.7,74.0,175355,"17,605,861"
Zodiac,2007,Crime,7.7,78.0,466080,"33,080,084"
Lucky Number Slevin,2006,Action,7.7,53.0,299524,"22,494,487"
Joyeux Noël,2005,Drama,7.7,70.0,28003,"1,054,361"
Control,2007,Biography,7.7,78.0,61609,"871,577"
Tangled,2010,Animation,7.7,71.0,405922,"200,821,936"
Zwartboek,2006,Drama,7.7,71.0,72643,"4,398,392"
Brokeback Mountain,2005,Drama,7.7,87.0,323103,"83,043,761"
3:10 to Yuma,2007,Action,7.7,76.0,288797,"53,606,916"
Crash,2004,Crime,7.7,66.0,419483,"54,580,300"
Kung fu,2004,Action,7.7,78.0,127250,"17,108,591"
The Bourne Supremacy,2004,Action,7.7,73.0,434841,"176,241,941"
The Machinist,2004,Drama,7.7,61.0,358432,"1,082,715"
Ray,2004,Biography,7.7,73.0,138356,"75,331,600"
Lost in Translation,2003,Comedy,7.7,89.0,415074,"44,585,453"
Harry Potter and the Goblet of Fire,2005,Adventure,7.7,81.0,548619,"290,013,036"
Man on Fire,2004,Action,7.7,47.0,329592,"77,911,774"
Coraline,2009,Animation,7.7,80.0,197761,"75,286,229"
The Last Samurai,2003,Action,7.7,55.0,400049,"111,110,575"
The Magdalene Sisters,2002,Drama,7.7,83.0,25938,"4,890,878"
Good Bye Lenin!,2003,Comedy,7.7,68.0,137981,"4,064,200"
In America,2002,Drama,7.7,76.0,40403,"15,539,266"
I Am Sam,2001,Drama,7.7,28.0,142863,"40,311,852"
Adaptation.,2002,Comedy,7.7,83.0,178565,"22,245,861"
Black Hawk Down,2001,Drama,7.7,74.0,364254,"108,638,745"
Road to Perdition,2002,Crime,7.7,72.0,246840,"104,454,762"
Das Experiment,2001,Drama,7.7,60.0,90842,"141,072"
Billy Elliot,2000,Drama,7.7,74.0,126770,"21,995,263"
Hedwig and the Angry Inch,2001,Comedy,7.7,85.0,31957,"3,029,081"
Ocean's Eleven,2001,Crime,7.7,74.0,516372,"183,417,150"
Vampire Hunter D: Bloodlust,2000,Animation,7.7,62.0,29210,"151,086"
"O Brother, Where Art Thou?",2000,Adventure,7.7,69.0,286742,"45,512,588"
Interstate 60: Episodes of the Road,2002,Adventure,7.7,,29999,
"South Park: Bigger, Longer & Uncut",1999,Animation,7.7,73.0,192112,"52,037,603"
Office Space,1999,Comedy,7.7,68.0,241575,"10,824,921"
Happiness,1998,Comedy,7.7,81.0,66408,"2,807,390"
Training Day,2001,Crime,7.7,69.0,390247,"76,631,907"
Rushmore,1998,Comedy,7.7,86.0,169229,"17,105,219"
Abre los ojos,1997,Drama,7.7,,64082,"368,234"
Being John Malkovich,1999,Comedy,7.7,90.0,312542,"22,858,926"
As Good as It Gets,1997,Comedy,7.7,67.0,275755,"148,478,011"
The Fifth Element,1997,Action,7.7,52.0,434125,"63,540,020"
Le dîner de cons,1998,Comedy,7.7,73.0,37424,"4,065,116"
Donnie Brasco,1997,Biography,7.7,76.0,279318,"41,909,762"
Shine,1996,Biography,7.7,87.0,51350,"35,811,509"
Primal Fear,1996,Crime,7.7,47.0,189716,"56,116,183"
Hamlet,1996,Drama,7.7,,35991,"4,414,535"
A Little Princess,1995,Drama,7.7,83.0,32236,"10,019,307"
Do lok tin si,1995,Comedy,7.7,71.0,26429,
Il postino,1994,Biography,7.7,81.0,33600,"21,848,932"
Clerks,1994,Comedy,7.7,70.0,211450,"3,151,130"
Short Cuts,1993,Comedy,7.7,79.0,42275,"6,110,979"
Philadelphia,1993,Drama,7.7,66.0,224169,"77,324,422"
The Muppet Christmas Carol,1992,Comedy,7.7,64.0,50298,"27,281,507"
Malcolm X,1992,Biography,7.7,73.0,85819,"48,169,908"
The Last of the Mohicans,1992,Action,7.7,76.0,150409,"75,505,856"
Kurenai no buta,1992,Animation,7.7,83.0,77798,
Glengarry Glen Ross,1992,Crime,7.7,82.0,95826,"10,725,228"
A Few Good Men,1992,Drama,7.7,62.0,235388,"141,340,178"
Fried Green Tomatoes,1991,Drama,7.7,64.0,66941,"82,418,501"
Barton Fink,1991,Comedy,7.7,69.0,113240,"6,153,939"
Miller's Crossing,1990,Crime,7.7,66.0,125822,"5,080,409"
Who Framed Roger Rabbit,1988,Animation,7.7,83.0,182009,"156,452,370"
Spoorloos,1988,Mystery,7.7,,33982,
Withnail & I,1987,Comedy,7.7,84.0,40396,"1,544,889"
The Last Emperor,1987,Biography,7.7,76.0,94326,"43,984,230"
Empire of the Sun,1987,Action,7.7,62.0,115677,"22,238,696"
Der Name der Rose,1986,Crime,7.7,54.0,102031,"7,153,487"
Blue Velvet,1986,Drama,7.7,76.0,181285,"8,551,228"
The Purple Rose of Cairo,1985,Comedy,7.7,75.0,47102,"10,631,333"
After Hours,1985,Comedy,7.7,90.0,59635,"10,600,000"
Zelig,1983,Comedy,7.7,,39881,"11,798,616"
