Series_Title,Released_Year,Genre,IMDB_Rating,Meta_score,No_of_Votes,Gross
Eternal Sunshine of the Spotless Mind,2004,Drama,8.3,89.0,911664,"34,400,301"
Amélie,2001,Comedy,8.3,69.0,703810,"33,225,499"
Snatch,2000,Comedy,8.3,55.0,782001,"30,328,156"
Requiem for a Dream,2000,Drama,8.3,68.0,766870,"3,635,482"
American Beauty,1999,Drama,8.3,84.0,1069738,"130,096,601"
Good Will Hunting,1997,Drama,8.3,70.0,861606,"138,433,435"
Bacheha-Ye aseman,1997,Drama,8.3,77.0,65341,"933,933"
Toy Story,1995,Animation,8.3,95.0,887429,"191,796,233"
Braveheart,1995,Biography,8.3,68.0,959181,"75,600,000"
Reservoir Dogs,1992,Crime,8.3,79.0,918562,"2,832,029"
Full Metal Jacket,1987,Drama,8.3,76.0,675146,"46,357,676"
Idi i smotri,1985,Drama,8.3,,59056,
Aliens,1986,Action,8.3,84.0,652719,"85,160,248"
Amadeus,1984,Biography,8.3,88.0,369007,"51,973,029"
Scarface,1983,Crime,8.3,65.0,740911,"45,598,982"
Star Wars: Episode VI - Return of the Jedi,1983,Action,8.3,58.0,950470,"309,125,409"
Das Boot,1981,Adventure,8.3,86.0,231855,"11,487,676"
Taxi Driver,1976,Crime,8.3,94.0,724636,"28,262,574"
The Sting,1973,Comedy,8.3,83.0,241513,"159,600,000"
A Clockwork Orange,1971,Crime,8.3,77.0,757904,"6,207,725"
2001: A Space Odyssey,1968,Adventure,8.3,84.0,603517,"56,954,992"
Per qualche dollaro in più,1965,Western,8.3,74.0,232772,"15,000,000"
Lawrence of Arabia,1962,Adventure,8.3,100.0,268085,"44,824,144"
The Apartment,1960,Comedy,8.3,94.0,164363,"18,600,000"
North by Northwest,1959,Adventure,8.3,98.0,299198,"13,275,000"
Vertigo,1958,Mystery,8.3,100.0,364368,"3,200,000"
Singin' in the Rain,1952,Comedy,8.3,99.0,218957,"8,819,028"
Ikiru,1952,Drama,8.3,,68463,"55,240"
Ladri di biciclette,1948,Drama,8.3,,146427,"332,930"
Double Indemnity,1944,Crime,8.3,95.0,143525,"5,720,000"
Citizen Kane,1941,Drama,8.3,100.0,403351,"1,585,634"
M - Eine Stadt sucht einen Mörder,1931,Crime,8.3,,143434,"28,877"
Metropolis,1927,Drama,8.3,98.0,159992,"1,236,166"
The Kid,1921,Comedy,8.3,,113314,"5,450,000"
Chhichhore,2019,Comedy,8.2,,33893,"898,575"
Uri: The Surgical Strike,2018,Action,8.2,,43444,"4,186,168"
K.G.F: Chapter 1,2018,Action,8.2,,36680,
Green Book,2018,Biography,8.2,69.0,377884,"85,080,171"
"Three Billboards Outside Ebbing, Missouri",2017,Comedy,8.2,88.0,432610,"54,513,740"
Talvar,2015,Crime,8.2,,31142,"342,370"
Baahubali 2: The Conclusion,2017,Action,8.2,,75348,"20,186,659"
Klaus,2019,Animation,8.2,65.0,104761,
Drishyam,2015,Crime,8.2,,70367,"739,478"
Queen,2013,Adventure,8.2,,60701,"1,429,534"
Mandariinid,2013,Drama,8.2,73.0,40382,"144,501"
Bhaag Milkha Bhaag,2013,Biography,8.2,,61137,"1,626,289"
Gangs of Wasseypur,2012,Action,8.2,89.0,82365,
Udaan,2010,Drama,8.2,,42341,"7,461"
Paan Singh Tomar,2012,Action,8.2,,33237,"39,567"
El secreto de sus ojos,2009,Drama,8.2,80.0,193217,"6,391,436"
Warrior,2011,Action,8.2,71.0,435950,"13,657,115"
Shutter Island,2010,Mystery,8.2,63.0,1129894,"128,012,934"
Up,2009,Animation,8.2,88.0,935507,"293,004,164"
The Wolf of Wall Street,2013,Biography,8.2,75.0,1187498,"116,900,694"
Chak De! India,2007,Drama,8.2,68.0,74129,"1,113,541"
There Will Be Blood,2007,Drama,8.2,93.0,517359,"40,222,514"
Pan's Labyrinth,2006,Drama,8.2,98.0,618623,"37,634,615"
Toy Story 3,2010,Animation,8.2,92.0,757032,"415,004,880"
V for Vendetta,2005,Action,8.2,62.0,1032749,"70,511,035"
Rang De Basanti,2006,Comedy,8.2,,111937,"2,197,331"
Black,2005,Drama,8.2,,33354,"733,094"
Batman Begins,2005,Action,8.2,70.0,1308302,"206,852,432"
"Swades: We, the People",2004,Drama,8.2,,83005,"1,223,240"
Der Untergang,2004,Biography,8.2,82.0,331308,"5,509,040"
Hauru no ugoku shiro,2004,Animation,8.2,80.0,333915,"4,711,096"
A Beautiful Mind,2001,Biography,8.2,72.0,848920,"170,742,341"
Hera Pheri,2000,Action,8.2,,57057,
"Lock, Stock and Two Smoking Barrels",1998,Action,8.2,66.0,535216,"3,897,569"
L.A. Confidential,1997,Crime,8.2,90.0,531967,"64,616,940"
Eskiya,1996,Crime,8.2,,64118,
Heat,1995,Crime,8.2,76.0,577113,"67,436,818"
Casino,1995,Crime,8.2,73.0,466276,"42,438,300"
Andaz Apna Apna,1994,Action,8.2,,49300,
Unforgiven,1992,Drama,8.2,85.0,375935,"101,157,447"
Indiana Jones and the Last Crusade,1989,Action,8.2,65.0,692366,"197,171,806"
Dom za vesanje,1988,Comedy,8.2,,26402,"280,015"
Tonari no Totoro,1988,Animation,8.2,86.0,291180,"1,105,564"
Die Hard,1988,Action,8.2,72.0,793164,"83,008,852"
Ran,1985,Action,8.2,96.0,112505,"4,135,750"
Raging Bull,1980,Biography,8.2,89.0,321860,"23,383,987"
Stalker,1979,Drama,8.2,,116945,"234,723"
Höstsonaten,1978,Drama,8.2,,26875,
The Message,1976,Biography,8.2,,43885,
Sholay,1975,Action,8.2,,51284,
Monty Python and the Holy Grail,1975,Adventure,8.2,91.0,500875,"1,229,197"
The Great Escape,1963,Adventure,8.2,86.0,224730,"12,100,000"
To Kill a Mockingbird,1962,Crime,8.2,88.0,293811,
Yôjinbô,1961,Action,8.2,,111244,
Judgment at Nuremberg,1961,Drama,8.2,60.0,69458,
Some Like It Hot,1959,Comedy,8.2,98.0,243943,"25,000,000"
Smultronstället,1957,Drama,8.2,88.0,96381,
Det sjunde inseglet,1957,Drama,8.2,88.0,164939,
Du rififi chez les hommes,1955,Crime,8.2,97.0,28810,"57,226"
Dial M for Murder,1954,Crime,8.2,75.0,158335,"12,562"
Tôkyô monogatari,1953,Drama,8.2,,53153,
Rashômon,1950,Crime,8.2,98.0,152572,"96,568"
All About Eve,1950,Drama,8.2,98.0,120539,"10,177"
The Treasure of the Sierra Madre,1948,Adventure,8.2,98.0,114304,"5,014,000"
To Be or Not to Be,1942,Comedy,8.2,86.0,29915,
The Gold Rush,1925,Adventure,8.2,,101053,"5,450,000"
Sherlock Jr.,1924,Action,8.2,,41985,"977,375"
Portrait de la jeune fille en feu,2019,Drama,8.1,95.0,63134,"3,759,854"
Pink,2016,Drama,8.1,,39216,"1,241,223"
Koe no katachi,2016,Animation,8.1,78.0,47708,
Contratiempo,2016,Crime,8.1,,141516,
Ah-ga-ssi,2016,Drama,8.1,84.0,113649,"2,006,788"
Mommy,2014,Drama,8.1,74.0,50700,"3,492,754"
Haider,2014,Action,8.1,,50445,"901,610"
Logan,2017,Action,8.1,77.0,647884,"226,277,068"
